series,agegroup,sex,year,Time Code,population
"Population ages 40-44, male",ages 40-44,male,1966,YR1966,1842594
"Population ages 40-44, male",ages 40-44,male,1967,YR1967,1811721
"Population ages 40-44, male",ages 40-44,male,1968,YR1968,1765430
"Population ages 40-44, male",ages 40-44,male,1969,YR1969,1719057
"Population ages 40-44, male",ages 40-44,male,1970,YR1970,1683458
"Population ages 40-44, male",ages 40-44,male,1971,YR1971,1657766
"Population ages 40-44, male",ages 40-44,male,1972,YR1972,1639504
"Population ages 40-44, male",ages 40-44,male,1973,YR1973,1626300
"Population ages 40-44, male",ages 40-44,male,1974,YR1974,1615208
"Population ages 40-44, male",ages 40-44,male,1975,YR1975,1605097
"Population ages 40-44, male",ages 40-44,male,1976,YR1976,1598320
"Population ages 40-44, male",ages 40-44,male,1977,YR1977,1595532
"Population ages 40-44, male",ages 40-44,male,1978,YR1978,1597157
"Population ages 40-44, male",ages 40-44,male,1979,YR1979,1603296
"Population ages 40-44, male",ages 40-44,male,1980,YR1980,1612814
"Population ages 40-44, male",ages 40-44,male,1981,YR1981,1622021
"Population ages 40-44, male",ages 40-44,male,1982,YR1982,1630377
"Population ages 40-44, male",ages 40-44,male,1983,YR1983,1645522
"Population ages 40-44, male",ages 40-44,male,1984,YR1984,1676524
"Population ages 40-44, male",ages 40-44,male,1985,YR1985,1725969
"Population ages 40-44, male",ages 40-44,male,1986,YR1986,1787694
"Population ages 40-44, male",ages 40-44,male,1987,YR1987,1870481
"Population ages 40-44, male",ages 40-44,male,1988,YR1988,1958014
"Population ages 40-44, male",ages 40-44,male,1989,YR1989,2024151
"Population ages 40-44, male",ages 40-44,male,1990,YR1990,2052827
"Population ages 40-44, male",ages 40-44,male,1991,YR1991,2044558
"Population ages 40-44, male",ages 40-44,male,1992,YR1992,1997948
"Population ages 40-44, male",ages 40-44,male,1993,YR1993,1931240
"Population ages 40-44, male",ages 40-44,male,1994,YR1994,1874290
"Population ages 40-44, male",ages 40-44,male,1995,YR1995,1844925
"Population ages 40-44, male",ages 40-44,male,1996,YR1996,1835176
"Population ages 40-44, male",ages 40-44,male,1997,YR1997,1849216
"Population ages 40-44, male",ages 40-44,male,1998,YR1998,1884591
"Population ages 40-44, male",ages 40-44,male,1999,YR1999,1933969
"Population ages 40-44, male",ages 40-44,male,2000,YR2000,1990736
"Population ages 40-44, male",ages 40-44,male,2001,YR2001,2048837
"Population ages 40-44, male",ages 40-44,male,2002,YR2002,2116586
"Population ages 40-44, male",ages 40-44,male,2003,YR2003,2186868
"Population ages 40-44, male",ages 40-44,male,2004,YR2004,2251302
"Population ages 40-44, male",ages 40-44,male,2005,YR2005,2304083
"Population ages 40-44, male",ages 40-44,male,2006,YR2006,2330802
"Population ages 40-44, male",ages 40-44,male,2007,YR2007,2338726
"Population ages 40-44, male",ages 40-44,male,2008,YR2008,2329149
"Population ages 40-44, male",ages 40-44,male,2009,YR2009,2304726
"Population ages 40-44, male",ages 40-44,male,2010,YR2010,2270324
"Population ages 40-44, male",ages 40-44,male,2011,YR2011,2239600
"Population ages 40-44, male",ages 40-44,male,2012,YR2012,2199642
"Population ages 40-44, male",ages 40-44,male,2013,YR2013,2157055
"Population ages 40-44, male",ages 40-44,male,2014,YR2014,2121887
"Population ages 40-44, male",ages 40-44,male,2015,YR2015,2099529
"Population ages 40-44, male",ages 40-44,male,2016,YR2016,2087212
"Population ages 40-44, male",ages 40-44,male,2017,YR2017,2085423
"Population ages 40-44, male",ages 40-44,male,2018,YR2018,2092905
"Population ages 40-44, male",ages 40-44,male,2019,YR2019,2107225
"Population ages 40-44, male",ages 40-44,male,2020,YR2020,2127028
"Population ages 40-44, male",ages 40-44,male,2021,YR2021,2149000
"Population ages 45-49, female",ages 45-49,female,1960,YR1960,1888345
"Population ages 45-49, female",ages 45-49,female,1961,YR1961,1849740
"Population ages 45-49, female",ages 45-49,female,1962,YR1962,1796954
"Population ages 45-49, female",ages 45-49,female,1963,YR1963,1739030
"Population ages 45-49, female",ages 45-49,female,1964,YR1964,1695815
"Population ages 45-49, female",ages 45-49,female,1965,YR1965,1681282
"Population ages 45-49, female",ages 45-49,female,1966,YR1966,1691347
"Population ages 45-49, female",ages 45-49,female,1967,YR1967,1733177
"Population ages 45-49, female",ages 45-49,female,1968,YR1968,1789294
"Population ages 45-49, female",ages 45-49,female,1969,YR1969,1832901
"Population ages 45-49, female",ages 45-49,female,1970,YR1970,1849014
"Population ages 45-49, female",ages 45-49,female,1971,YR1971,1841334
"Population ages 45-49, female",ages 45-49,female,1972,YR1972,1807246
"Population ages 45-49, female",ages 45-49,female,1973,YR1973,1755490
"Population ages 45-49, female",ages 45-49,female,1974,YR1974,1702610
"Population ages 45-49, female",ages 45-49,female,1975,YR1975,1659457
"Population ages 45-49, female",ages 45-49,female,1976,YR1976,1623311
"Population ages 45-49, female",ages 45-49,female,1977,YR1977,1595410
"Population ages 45-49, female",ages 45-49,female,1978,YR1978,1576169
"Population ages 45-49, female",ages 45-49,female,1979,YR1979,1564119
"Population ages 45-49, female",ages 45-49,female,1980,YR1980,1556725
"Population ages 45-49, female",ages 45-49,female,1981,YR1981,1550745
"Population ages 45-49, female",ages 45-49,female,1982,YR1982,1549672
"Population ages 45-49, female",ages 45-49,female,1983,YR1983,1554515
"Population ages 45-49, female",ages 45-49,female,1984,YR1984,1564309
"Population ages 45-49, female",ages 45-49,female,1985,YR1985,1577178
"Population ages 45-49, female",ages 45-49,female,1986,YR1986,1587600
"Population ages 45-49, female",ages 45-49,female,1987,YR1987,1597975
"Population ages 45-49, female",ages 45-49,female,1988,YR1988,1614154
"Population ages 45-49, female",ages 45-49,female,1989,YR1989,1645434
"Population ages 45-49, female",ages 45-49,female,1990,YR1990,1696108
"Population ages 45-49, female",ages 45-49,female,1991,YR1991,1764666
"Population ages 45-49, female",ages 45-49,female,1992,YR1992,1852742
"Population ages 45-49, female",ages 45-49,female,1993,YR1993,1943230
"Population ages 45-49, female",ages 45-49,female,1994,YR1994,2011053
"Population ages 45-49, female",ages 45-49,female,1995,YR1995,2041365
"Population ages 45-49, female",ages 45-49,female,1996,YR1996,2034491
"Population ages 45-49, female",ages 45-49,female,1997,YR1997,1991710
"Population ages 45-49, female",ages 45-49,female,1998,YR1998,1931167
"Population ages 45-49, female",ages 45-49,female,1999,YR1999,1880671
"Population ages 45-49, female",ages 45-49,female,2000,YR2000,1857014
"Population ages 45-49, female",ages 45-49,female,2001,YR2001,1850593
"Population ages 45-49, female",ages 45-49,female,2002,YR2002,1867165
"Population ages 45-49, female",ages 45-49,female,2003,YR2003,1903765
"Population ages 45-49, female",ages 45-49,female,2004,YR2004,1954702
"Population ages 45-49, female",ages 45-49,female,2005,YR2005,2015103
"Population ages 45-49, female",ages 45-49,female,2006,YR2006,2085784
"Population ages 45-49, female",ages 45-49,female,2007,YR2007,2160313
"Population ages 45-49, female",ages 45-49,female,2008,YR2008,2228958
"Population ages 45-49, female",ages 45-49,female,2009,YR2009,2282038
"Population ages 45-49, female",ages 45-49,female,2010,YR2010,2317233
"Population ages 45-49, female",ages 45-49,female,2011,YR2011,2344319
"Population ages 45-49, female",ages 45-49,female,2012,YR2012,2358631
"Population ages 45-49, female",ages 45-49,female,2013,YR2013,2360732
"Population ages 45-49, female",ages 45-49,female,2014,YR2014,2352639
"Population ages 45-49, female",ages 45-49,female,2015,YR2015,2335064
"Population ages 45-49, female",ages 45-49,female,2016,YR2016,2307100
"Population ages 45-49, female",ages 45-49,female,2017,YR2017,2266416
"Population ages 45-49, female",ages 45-49,female,2018,YR2018,2219689
"Population ages 45-49, female",ages 45-49,female,2019,YR2019,2177281
"Population ages 45-49, female",ages 45-49,female,2020,YR2020,2146360
"Population ages 45-49, female",ages 45-49,female,2021,YR2021,2126000
"Population ages 45-49, male",ages 45-49,male,1960,YR1960,1796632
"Population ages 45-49, male",ages 45-49,male,1961,YR1961,1761756
"Population ages 45-49, male",ages 45-49,male,1962,YR1962,1715725
"Population ages 45-49, male",ages 45-49,male,1963,YR1963,1665763
"Population ages 45-49, male",ages 45-49,male,1964,YR1964,1629697
"Population ages 45-49, male",ages 45-49,male,1965,YR1965,1620571
"Population ages 45-49, male",ages 45-49,male,1966,YR1966,1632074
"Population ages 45-49, male",ages 45-49,male,1967,YR1967,1674870
"Population ages 45-49, male",ages 45-49,male,1968,YR1968,1732260
"Population ages 45-49, male",ages 45-49,male,1969,YR1969,1778446
"Population ages 45-49, male",ages 45-49,male,1970,YR1970,1798852
"Population ages 45-49, male",ages 45-49,male,1971,YR1971,1796345
"Population ages 45-49, male",ages 45-49,male,1972,YR1972,1769231
"Population ages 45-49, male",ages 45-49,male,1973,YR1973,1725635
"Population ages 45-49, male",ages 45-49,male,1974,YR1974,1681440
"Population ages 45-49, male",ages 45-49,male,1975,YR1975,1647076
"Population ages 45-49, male",ages 45-49,male,1976,YR1976,1618572
"Population ages 45-49, male",ages 45-49,male,1977,YR1977,1598603
"Population ages 45-49, male",ages 45-49,male,1978,YR1978,1586397
"Population ages 45-49, male",ages 45-49,male,1979,YR1979,1579237
"Population ages 45-49, male",ages 45-49,male,1980,YR1980,1574026
"Population ages 45-49, male",ages 45-49,male,1981,YR1981,1567616
"Population ages 45-49, male",ages 45-49,male,1982,YR1982,1563239
"Population ages 45-49, male",ages 45-49,male,1983,YR1983,1562957
"Population ages 45-49, male",ages 45-49,male,1984,YR1984,1567909
"Population ages 45-49, male",ages 45-49,male,1985,YR1985,1577866
"Population ages 45-49, male",ages 45-49,male,1986,YR1986,1587111
"Population ages 45-49, male",ages 45-49,male,1987,YR1987,1598231
"Population ages 45-49, male",ages 45-49,male,1988,YR1988,1615642
"Population ages 45-49, male",ages 45-49,male,1989,YR1989,1646953
"Population ages 45-49, male",ages 45-49,male,1990,YR1990,1695983
"Population ages 45-49, male",ages 45-49,male,1991,YR1991,1761445
"Population ages 45-49, male",ages 45-49,male,1992,YR1992,1845731
"Population ages 45-49, male",ages 45-49,male,1993,YR1993,1932328
"Population ages 45-49, male",ages 45-49,male,1994,YR1994,1996912
"Population ages 45-49, male",ages 45-49,male,1995,YR1995,2024983
"Population ages 45-49, male",ages 45-49,male,1996,YR1996,2014066
"Population ages 45-49, male",ages 45-49,male,1997,YR1997,1968214
"Population ages 45-49, male",ages 45-49,male,1998,YR1998,1905445
"Population ages 45-49, male",ages 45-49,male,1999,YR1999,1853387
"Population ages 45-49, male",ages 45-49,male,2000,YR2000,1828893
"Population ages 45-49, male",ages 45-49,male,2001,YR2001,1819681
"Population ages 45-49, male",ages 45-49,male,2002,YR2002,1834674
"Population ages 45-49, male",ages 45-49,male,2003,YR2003,1870442
"Population ages 45-49, male",ages 45-49,male,2004,YR2004,1920298
"Population ages 45-49, male",ages 45-49,male,2005,YR2005,1978485
"Population ages 45-49, male",ages 45-49,male,2006,YR2006,2047590
"Population ages 45-49, male",ages 45-49,male,2007,YR2007,2118712
"Population ages 45-49, male",ages 45-49,male,2008,YR2008,2183220
"Population ages 45-49, male",ages 45-49,male,2009,YR2009,2232665
"Population ages 45-49, male",ages 45-49,male,2010,YR2010,2264910
"Population ages 45-49, male",ages 45-49,male,2011,YR2011,2286828
"Population ages 45-49, male",ages 45-49,male,2012,YR2012,2297402
"Population ages 45-49, male",ages 45-49,male,2013,YR2013,2297329
"Population ages 45-49, male",ages 45-49,male,2014,YR2014,2288732
"Population ages 45-49, male",ages 45-49,male,2015,YR2015,2272412
"Population ages 45-49, male",ages 45-49,male,2016,YR2016,2246486
"Population ages 45-49, male",ages 45-49,male,2017,YR2017,2209684
"Population ages 45-49, male",ages 45-49,male,2018,YR2018,2168240
"Population ages 45-49, male",ages 45-49,male,2019,YR2019,2131879
"Population ages 45-49, male",ages 45-49,male,2020,YR2020,2107315
"Population ages 45-49, male",ages 45-49,male,2021,YR2021,2092000
"Population ages 50-54, female",ages 50-54,female,1960,YR1960,1851406
"Population ages 50-54, female",ages 50-54,female,1961,YR1961,1858721
"Population ages 50-54, female",ages 50-54,female,1962,YR1962,1869410
"Population ages 50-54, female",ages 50-54,female,1963,YR1963,1874658
"Population ages 50-54, female",ages 50-54,female,1964,YR1964,1866507
"Population ages 50-54, female",ages 50-54,female,1965,YR1965,1843324
"Population ages 50-54, female",ages 50-54,female,1966,YR1966,1801585
"Population ages 50-54, female",ages 50-54,female,1967,YR1967,1746545
"Population ages 50-54, female",ages 50-54,female,1968,YR1968,1689268
"Population ages 50-54, female",ages 50-54,female,1969,YR1969,1648594
"Population ages 50-54, female",ages 50-54,female,1970,YR1970,1636680
"Population ages 50-54, female",ages 50-54,female,1971,YR1971,1652092
"Population ages 50-54, female",ages 50-54,female,1972,YR1972,1695177
"Population ages 50-54, female",ages 50-54,female,1973,YR1973,1749271
"Population ages 50-54, female",ages 50-54,female,1974,YR1974,1789944
"Population ages 50-54, female",ages 50-54,female,1975,YR1975,1803395
"Population ages 50-54, female",ages 50-54,female,1976,YR1976,1791314
"Population ages 50-54, female",ages 50-54,female,1977,YR1977,1756024
"Population ages 50-54, female",ages 50-54,female,1978,YR1978,1707535
"Population ages 50-54, female",ages 50-54,female,1979,YR1979,1661290
"Population ages 50-54, female",ages 50-54,female,1980,YR1980,1625327
"Population ages 50-54, female",ages 50-54,female,1981,YR1981,1592954
"Population ages 50-54, female",ages 50-54,female,1982,YR1982,1566793
"Population ages 50-54, female",ages 50-54,female,1983,YR1983,1548434
"Population ages 50-54, female",ages 50-54,female,1984,YR1984,1536897
"Population ages 50-54, female",ages 50-54,female,1985,YR1985,1530229
"Population ages 50-54, female",ages 50-54,female,1986,YR1986,1523617
"Population ages 50-54, female",ages 50-54,female,1987,YR1987,1523916
"Population ages 50-54, female",ages 50-54,female,1988,YR1988,1529829
"Population ages 50-54, female",ages 50-54,female,1989,YR1989,1539368
"Population ages 50-54, female",ages 50-54,female,1990,YR1990,1551519
"Population ages 50-54, female",ages 50-54,female,1991,YR1991,1565665
"Population ages 50-54, female",ages 50-54,female,1992,YR1992,1578557
"Population ages 50-54, female",ages 50-54,female,1993,YR1993,1596088
"Population ages 50-54, female",ages 50-54,female,1994,YR1994,1628231
"Population ages 50-54, female",ages 50-54,female,1995,YR1995,1679147
"Population ages 50-54, female",ages 50-54,female,1996,YR1996,1743780
"Population ages 50-54, female",ages 50-54,female,1997,YR1997,1828574
"Population ages 50-54, female",ages 50-54,female,1998,YR1998,1917430
"Population ages 50-54, female",ages 50-54,female,1999,YR1999,1984929
"Population ages 50-54, female",ages 50-54,female,2000,YR2000,2015989
"Population ages 50-54, female",ages 50-54,female,2001,YR2001,2008466
"Population ages 50-54, female",ages 50-54,female,2002,YR2002,1965957
"Population ages 50-54, female",ages 50-54,female,2003,YR2003,1905517
"Population ages 50-54, female",ages 50-54,female,2004,YR2004,1855527
"Population ages 50-54, female",ages 50-54,female,2005,YR2005,1833320
"Population ages 50-54, female",ages 50-54,female,2006,YR2006,1835198
"Population ages 50-54, female",ages 50-54,female,2007,YR2007,1861953
"Population ages 50-54, female",ages 50-54,female,2008,YR2008,1909715
"Population ages 50-54, female",ages 50-54,female,2009,YR2009,1968580
"Population ages 50-54, female",ages 50-54,female,2010,YR2010,2030812
"Population ages 50-54, female",ages 50-54,female,2011,YR2011,2088310
"Population ages 50-54, female",ages 50-54,female,2012,YR2012,2149602
"Population ages 50-54, female",ages 50-54,female,2013,YR2013,2210157
"Population ages 50-54, female",ages 50-54,female,2014,YR2014,2264432
"Population ages 50-54, female",ages 50-54,female,2015,YR2015,2307561
"Population ages 50-54, female",ages 50-54,female,2016,YR2016,2338474
"Population ages 50-54, female",ages 50-54,female,2017,YR2017,2355574
"Population ages 50-54, female",ages 50-54,female,2018,YR2018,2358858
"Population ages 50-54, female",ages 50-54,female,2019,YR2019,2349655
"Population ages 50-54, female",ages 50-54,female,2020,YR2020,2329870
"Population ages 50-54, female",ages 50-54,female,2021,YR2021,2299000
"Population ages 50-54, male",ages 50-54,male,1960,YR1960,1754071
"Population ages 50-54, male",ages 50-54,male,1961,YR1961,1756651
"Population ages 50-54, male",ages 50-54,male,1962,YR1962,1765204
"Population ages 50-54, male",ages 50-54,male,1963,YR1963,1771008
"Population ages 50-54, male",ages 50-54,male,1964,YR1964,1765680
"Population ages 50-54, male",ages 50-54,male,1965,YR1965,1746889
"Population ages 50-54, male",ages 50-54,male,1966,YR1966,1705667
"Population ages 50-54, male",ages 50-54,male,1967,YR1967,1651629
"Population ages 50-54, male",ages 50-54,male,1968,YR1968,1595676
"Population ages 50-54, male",ages 50-54,male,1969,YR1969,1556841
"Population ages 50-54, male",ages 50-54,male,1970,YR1970,1547517
"Population ages 50-54, male",ages 50-54,male,1971,YR1971,1564178
"Population ages 50-54, male",ages 50-54,male,1972,YR1972,1610551
"Population ages 50-54, male",ages 50-54,male,1973,YR1973,1669605
"Population ages 50-54, male",ages 50-54,male,1974,YR1974,1716485
"Population ages 50-54, male",ages 50-54,male,1975,YR1975,1737059
"Population ages 50-54, male",ages 50-54,male,1976,YR1976,1729304
"Population ages 50-54, male",ages 50-54,male,1977,YR1977,1699696
"Population ages 50-54, male",ages 50-54,male,1978,YR1978,1658422
"Population ages 50-54, male",ages 50-54,male,1979,YR1979,1620591
"Population ages 50-54, male",ages 50-54,male,1980,YR1980,1593505
"Population ages 50-54, male",ages 50-54,male,1981,YR1981,1568927
"Population ages 50-54, male",ages 50-54,male,1982,YR1982,1550638
"Population ages 50-54, male",ages 50-54,male,1983,YR1983,1539205
"Population ages 50-54, male",ages 50-54,male,1984,YR1984,1532729
"Population ages 50-54, male",ages 50-54,male,1985,YR1985,1528874
"Population ages 50-54, male",ages 50-54,male,1986,YR1986,1521454
"Population ages 50-54, male",ages 50-54,male,1987,YR1987,1518948
"Population ages 50-54, male",ages 50-54,male,1988,YR1988,1521025
"Population ages 50-54, male",ages 50-54,male,1989,YR1989,1527331
"Population ages 50-54, male",ages 50-54,male,1990,YR1990,1537754
"Population ages 50-54, male",ages 50-54,male,1991,YR1991,1549733
"Population ages 50-54, male",ages 50-54,male,1992,YR1992,1562012
"Population ages 50-54, male",ages 50-54,male,1993,YR1993,1579643
"Population ages 50-54, male",ages 50-54,male,1994,YR1994,1611606
"Population ages 50-54, male",ages 50-54,male,1995,YR1995,1661745
"Population ages 50-54, male",ages 50-54,male,1996,YR1996,1722993
"Population ages 50-54, male",ages 50-54,male,1997,YR1997,1804348
"Population ages 50-54, male",ages 50-54,male,1998,YR1998,1890103
"Population ages 50-54, male",ages 50-54,male,1999,YR1999,1955370
"Population ages 50-54, male",ages 50-54,male,2000,YR2000,1985375
"Population ages 50-54, male",ages 50-54,male,2001,YR2001,1974299
"Population ages 50-54, male",ages 50-54,male,2002,YR2002,1929550
"Population ages 50-54, male",ages 50-54,male,2003,YR2003,1867705
"Population ages 50-54, male",ages 50-54,male,2004,YR2004,1816699
"Population ages 50-54, male",ages 50-54,male,2005,YR2005,1793696
"Population ages 50-54, male",ages 50-54,male,2006,YR2006,1798147
"Population ages 50-54, male",ages 50-54,male,2007,YR2007,1827687
"Population ages 50-54, male",ages 50-54,male,2008,YR2008,1877733
"Population ages 50-54, male",ages 50-54,male,2009,YR2009,1937769
"Population ages 50-54, male",ages 50-54,male,2010,YR2010,1999925
"Population ages 50-54, male",ages 50-54,male,2011,YR2011,2051768
"Population ages 50-54, male",ages 50-54,male,2012,YR2012,2106625
"Population ages 50-54, male",ages 50-54,male,2013,YR2013,2160518
"Population ages 50-54, male",ages 50-54,male,2014,YR2014,2208723
"Population ages 50-54, male",ages 50-54,male,2015,YR2015,2246941
"Population ages 50-54, male",ages 50-54,male,2016,YR2016,2272791
"Population ages 50-54, male",ages 50-54,male,2017,YR2017,2286076
"Population ages 50-54, male",ages 50-54,male,2018,YR2018,2287007
"Population ages 50-54, male",ages 50-54,male,2019,YR2019,2277231
"Population ages 50-54, male",ages 50-54,male,2020,YR2020,2258881
"Population ages 50-54, male",ages 50-54,male,2021,YR2021,2230000
"Population ages 00-04, female",ages 00-04,female,1960,YR1960,1998055
"Population ages 00-04, female",ages 00-04,female,1961,YR1961,2120755
"Population ages 00-04, female",ages 00-04,female,1962,YR1962,2211873
"Population ages 00-04, female",ages 00-04,female,1963,YR1963,2269984
"Population ages 00-04, female",ages 00-04,female,1964,YR1964,2310215
"Population ages 00-04, female",ages 00-04,female,1965,YR1965,2346308
"Population ages 00-04, female",ages 00-04,female,1966,YR1966,2395352
"Population ages 00-04, female",ages 00-04,female,1967,YR1967,2402098
"Population ages 00-04, female",ages 00-04,female,1968,YR1968,2378844
"Population ages 00-04, female",ages 00-04,female,1969,YR1969,2336925
"Population ages 00-04, female",ages 00-04,female,1970,YR1970,2285927
"Population ages 00-04, female",ages 00-04,female,1971,YR1971,2200592
"Population ages 00-04, female",ages 00-04,female,1972,YR1972,2123132
"Population ages 00-04, female",ages 00-04,female,1973,YR1973,2050142
"Population ages 00-04, female",ages 00-04,female,1974,YR1974,1977191
"Population ages 00-04, female",ages 00-04,female,1975,YR1975,1902007
"Population ages 00-04, female",ages 00-04,female,1976,YR1976,1817938
"Population ages 00-04, female",ages 00-04,female,1977,YR1977,1751673
"Population ages 00-04, female",ages 00-04,female,1978,YR1978,1701291
"Population ages 00-04, female",ages 00-04,female,1979,YR1979,1667549
"Population ages 00-04, female",ages 00-04,female,1980,YR1980,1649329
"Population ages 00-04, female",ages 00-04,female,1981,YR1981,1648861
"Population ages 00-04, female",ages 00-04,female,1982,YR1982,1663222
"Population ages 00-04, female",ages 00-04,female,1983,YR1983,1689779
"Population ages 00-04, female",ages 00-04,female,1984,YR1984,1722063
"Population ages 00-04, female",ages 00-04,female,1985,YR1985,1755090
"Population ages 00-04, female",ages 00-04,female,1986,YR1986,1812640
"Population ages 00-04, female",ages 00-04,female,1987,YR1987,1843059
"Population ages 00-04, female",ages 00-04,female,1988,YR1988,1855553
"Population ages 00-04, female",ages 00-04,female,1989,YR1989,1862813
"Population ages 00-04, female",ages 00-04,female,1990,YR1990,1873106
"Population ages 00-04, female",ages 00-04,female,1991,YR1991,1872162
"Population ages 00-04, female",ages 00-04,female,1992,YR1992,1873972
"Population ages 00-04, female",ages 00-04,female,1993,YR1993,1876727
"Population ages 00-04, female",ages 00-04,female,1994,YR1994,1874793
"Population ages 00-04, female",ages 00-04,female,1995,YR1995,1863237
"Population ages 00-04, female",ages 00-04,female,1996,YR1996,1839347
"Population ages 00-04, female",ages 00-04,female,1997,YR1997,1812469
"Population ages 00-04, female",ages 00-04,female,1998,YR1998,1783551
"Population ages 00-04, female",ages 00-04,female,1999,YR1999,1755635
"Population ages 00-04, female",ages 00-04,female,2000,YR2000,1730472
"Population ages 00-04, female",ages 00-04,female,2001,YR2001,1701196
"Population ages 00-04, female",ages 00-04,female,2002,YR2002,1680846
"Population ages 00-04, female",ages 00-04,female,2003,YR2003,1670363
"Population ages 00-04, female",ages 00-04,female,2004,YR2004,1672950
"Population ages 00-04, female",ages 00-04,female,2005,YR2005,1690069
"Population ages 00-04, female",ages 00-04,female,2006,YR2006,1709463
"Population ages 00-04, female",ages 00-04,female,2007,YR2007,1748231
"Population ages 00-04, female",ages 00-04,female,2008,YR2008,1797781
"Population ages 00-04, female",ages 00-04,female,2009,YR2009,1845026
"Population ages 00-04, female",ages 00-04,female,2010,YR2010,1883341
